X[m];Y[m];Z[m];u-x[m];u-y[m];u-z[m];du-y[m];du-z[m]
0.0;7.0;0.926999999996;-0.000188969977;3.80903790721e-06;-0.00183762503219;0.0;0.0
0.125;7.0;0.9270065247;-0.000188921061663;3.40999283421e-06;-0.00174274223781;0.0;0.0
0.25;7.0;0.926997467659;-0.000188938348991;2.48311125313e-06;-0.0016477320305;0.0;0.0
0.375;7.0;0.927000142785;-0.000188864600498;1.65402759564e-06;-0.00155199211295;0.0;0.0
0.5;7.0;0.92700050739;-0.000188329130948;0.0;-0.00145713341826;0.0;0.0
0.625;7.0;0.926999804227;-0.00018741428146;8.90831570605e-07;-0.00136526346912;0.0;0.0
0.75;7.0;0.927000018793;-0.00018625406954;9.87305546014e-07;-0.00127567334888;0.0;0.0
0.875;7.0;0.927000035502;-0.000184621261579;1.12819190389e-06;-0.00118812949566;0.0;0.0
1.0;7.0;0.926999929804;-0.000182540506903;8.57105947896e-07;-0.00110372023362;0.0;0.0
1.125;7.0;0.926999985661;-0.000180046018115;9.76513456758e-07;-0.00102300835718;0.0;0.0
1.25;7.0;0.926999969276;-0.000177167506476;7.76361206859e-07;-0.000946442656056;0.0;0.0
1.375;7.0;0.926999872704;-0.000173941757406;6.09243618903e-07;-0.000874094202092;0.0;0.0
1.5;7.0;0.926999955989;-0.000170253633923;0.0;-0.000806863965976;0.0;0.0
1.625;7.0;0.92699995127;-0.000166316878382;1.16506440556e-06;-0.000745885395343;0.0;0.0
1.75;7.0;0.926999792988;-0.000162334042602;1.87108057777e-06;-0.000689833870027;0.0;0.0
1.875;7.0;0.926999913132;-0.000158181557137;2.52689033368e-06;-0.000637627374561;0.0;0.0
2.0;7.0;0.926999955831;-0.000153893704586;2.71630094805e-06;-0.000589089719524;0.0;0.0
2.125;7.0;0.926999674726;-0.000149469290056;3.0476214704e-06;-0.000543709971194;0.0;0.0
2.25;7.0;0.926999892139;-0.000144941125316;2.67652983992e-06;-0.000501166131253;0.0;0.0
2.375;7.0;0.927000021252;-0.000140346352143;1.78335474252e-06;-0.000460553991699;0.0;0.0
2.5;7.0;0.926999205656;-0.000135273974801;0.0;-0.000423353827677;0.0;0.0
2.67045048712;7.0;0.927000845709;-0.00012831613662;1.60345666886e-06;-0.000380728376348;0.0;0.0
2.84090097423;7.0;0.926995530172;-0.000121730938094;2.00177096121e-06;-0.00034268206619;0.0;0.0
3.01135146135;7.0;0.927011022567;-0.000114850960254;1.26198747308e-06;-0.000306256389313;0.0;0.0
3.18180194847;7.0;0.926967743115;-0.000107481881459;-7.08985991487e-08;-0.000273607534743;0.0;0.0
3.34090097423;7.0;0.927053799456;-9.98928145481e-05;-4.64762280099e-07;-0.000249070237814;0.0;0.0
3.5;7.0;0.927000002831;-9.20369951461e-05;0.0;-0.000231637543707;0.0;0.0
3.65909902577;7.0;0.927053799456;-8.41679831622e-05;-7.15976537047e-07;-0.000221134975492;0.0;0.0
3.81819805153;7.0;0.926967743115;-7.65502122485e-05;-5.12635880714e-07;-0.000217936083213;0.0;0.0
3.98864853865;7.0;0.927011022567;-6.91598840689e-05;6.97439418893e-07;-0.000221283568598;0.0;0.0
4.15909902577;7.0;0.926995530172;-6.22770932845e-05;1.47496836688e-06;-0.000228874999094;0.0;0.0
4.32954951288;7.0;0.927000845709;-5.57181897152e-05;1.26828150379e-06;-0.000238642664804;0.0;0.0
4.5;7.0;0.926999205656;-4.88864143054e-05;0.0;-0.000253122835874;0.0;0.0
4.625;7.0;0.927000021252;-4.39381735548e-05;1.72104541869e-06;-0.000269396006422;0.0;0.0
4.75;7.0;0.926999892139;-3.94489532096e-05;2.62285593263e-06;-0.000288967897703;0.0;0.0
4.875;7.0;0.926999674726;-3.50481516693e-05;3.05565482927e-06;-0.000310483532308;0.0;0.0
5.0;7.0;0.926999955831;-3.07702722001e-05;2.80517303364e-06;-0.000334722735299;0.0;0.0
5.125;7.0;0.926999913132;-2.66324620953e-05;2.71892003862e-06;-0.000361946293897;0.0;0.0
5.25;7.0;0.926999792988;-2.26470392048e-05;2.09706591612e-06;-0.000392599122402;0.0;0.0
5.375;7.0;0.92699995127;-1.88486086212e-05;1.36032990347e-06;-0.000426672580663;0.0;0.0
5.5;7.0;0.926999955989;-1.50485052973e-05;0.0;-0.000465464353696;0.0;0.0
5.625;7.0;0.926999872704;-1.15060976258e-05;9.96663801038e-07;-0.000510628679714;0.0;0.0
5.75;7.0;0.926999969276;-8.49734346347e-06;1.35670379462e-06;-0.000560507833694;0.0;0.0
5.875;7.0;0.926999985661;-5.84255942688e-06;1.6227992735e-06;-0.000613803933683;0.0;0.0
6.0;7.0;0.926999929804;-3.57356993103e-06;1.45400687291e-06;-0.000670475338165;0.0;0.0
6.125;7.0;0.927000035502;-1.73066440994e-06;1.57622700885e-06;-0.000729995445879;0.0;0.0
6.25;7.0;0.927000018793;-3.24891937757e-07;1.2758378357e-06;-0.000791773707932;0.0;0.0
6.375;7.0;0.926999804227;6.19349270568e-07;9.61868862211e-07;-0.000854834091768;0.0;0.0
6.5;7.0;0.92700050739;1.30258159164e-06;0.0;-0.000919203434195;0.0;0.0
6.625;7.0;0.927000142785;1.64611920715e-06;8.58274250994e-07;-0.000985261402137;0.0;0.0
6.75;7.0;0.926997467659;1.61049174487e-06;1.10296270856e-06;-0.00105137903388;0.0;0.0
6.875;7.0;0.9270065247;1.4714583654e-06;1.39875645391e-06;-0.00111650147134;0.0;0.0
7.0;7.0;0.926999999996;-1.35638402493e-06;1.35730168102e-06;-0.00118121043024;0.0;0.0
7.125;7.0;0.9270065247;-1.47145835032e-06;1.39875645687e-06;-0.00111650147132;0.0;0.0
7.25;7.0;0.926997467659;-1.61049172982e-06;1.10296271071e-06;-0.00105137903386;0.0;0.0
7.375;7.0;0.927000142785;-1.64611919212e-06;8.58274252278e-07;-0.000985261402105;0.0;0.0
7.5;7.0;0.92700050739;-1.30258157649e-06;0.0;-0.000919203434159;0.0;0.0
7.625;7.0;0.926999804227;-6.19349255262e-07;9.6186886217e-07;-0.000854834091729;0.0;0.0
7.75;7.0;0.927000018793;3.24891953181e-07;1.2758378353e-06;-0.00079177370789;0.0;0.0
7.875;7.0;0.927000035502;1.73066442554e-06;1.5762270081e-06;-0.000729995445836;0.0;0.0
8.0;7.0;0.926999929804;3.57356994688e-06;1.45400687181e-06;-0.000670475338121;0.0;0.0
8.125;7.0;0.926999985661;5.84255944294e-06;1.62279927223e-06;-0.00061380393364;0.0;0.0
8.25;7.0;0.926999969276;8.49734347971e-06;1.35670379345e-06;-0.000560507833652;0.0;0.0
8.375;7.0;0.926999872704;1.15060976422e-05;9.96663800225e-07;-0.000510628679674;0.0;0.0
8.5;7.0;0.926999955989;1.50485053136e-05;0.0;-0.000465464353659;0.0;0.0
8.625;7.0;0.92699995127;1.88486086374e-05;1.36032990276e-06;-0.000426672580627;0.0;0.0
8.75;7.0;0.926999792988;2.26470392211e-05;2.09706591511e-06;-0.000392599122367;0.0;0.0
8.875;7.0;0.926999913132;2.66324621116e-05;2.71892003746e-06;-0.000361946293865;0.0;0.0
9.0;7.0;0.926999955831;3.07702722165e-05;2.8051730326e-06;-0.000334722735268;0.0;0.0
9.125;7.0;0.926999674726;3.50481516858e-05;3.05565482826e-06;-0.00031048353228;0.0;0.0
9.25;7.0;0.926999892139;3.94489532261e-05;2.62285593185e-06;-0.000288967897679;0.0;0.0
9.375;7.0;0.927000021252;4.39381735713e-05;1.72104541821e-06;-0.0002693960064;0.0;0.0
9.5;7.0;0.926999205656;4.88864143218e-05;0.0;-0.000253122835855;0.0;0.0
9.67045048712;7.0;0.927000845709;5.57181897315e-05;1.26828150351e-06;-0.000238642664788;0.0;0.0
9.84090097423;7.0;0.926995530172;6.22770933009e-05;1.47496836648e-06;-0.00022887499908;0.0;0.0
10.0113514613;7.0;0.927011022567;6.91598840853e-05;6.97439418425e-07;-0.000221283568587;0.0;0.0
10.1818019485;7.0;0.926967743115;7.6550212265e-05;-5.12635881073e-07;-0.000217936083205;0.0;0.0
10.3409009742;7.0;0.927053799456;8.41679831789e-05;-7.15976537288e-07;-0.000221134975487;0.0;0.0
