element_number;x[m];y[m];t[mm]
1.0;0.05;-0.05;315.624725303
2.0;0.05;-0.15;313.021278924
3.0;0.05;-0.25;302.589036964
4.0;0.05;-0.35;285.475094276
5.0;0.05;-0.45;263.397903916
6.0;0.05;-0.55;238.519112077
7.0;0.05;-0.65;213.098785349
8.0;0.05;-0.75;188.714703044
9.0;0.05;-0.85;166.068255469
10.0;0.05;-0.95;145.472760547
11.0;0.05;-1.05;127.13661147
12.0;0.05;-1.15;111.085324781
13.0;0.05;-1.25;97.3425913405
14.0;0.05;-1.35;86.306134611
15.0;0.05;-1.45;78.4873391003
16.0;0.05;-1.55;73.8518966821
17.0;0.05;-1.65;71.695767249
18.0;0.05;-1.75;71.0353924299
19.0;0.05;-1.85;70.9050879
20.0;0.05;-1.95;70.6475840357
21.0;0.15;-0.05;313.021279116
22.0;0.15;-0.15;303.396950289
23.0;0.15;-0.25;286.58505677
24.0;0.15;-0.35;264.117858833
25.0;0.15;-0.45;238.789881303
26.0;0.15;-0.55;213.200829731
27.0;0.15;-0.65;188.778200257
28.0;0.15;-0.75;166.221972549
29.0;0.15;-0.85;145.807188345
30.0;0.15;-0.95;127.425739313
31.0;0.15;-1.05;111.067411997
32.0;0.15;-1.15;97.1853591081
33.0;0.15;-1.25;86.3229531295
34.0;0.15;-1.35;78.685028161
35.0;0.15;-1.45;74.1100037724
36.0;0.15;-1.55;71.9970625994
37.0;0.15;-1.65;71.2872491336
38.0;0.15;-1.75;70.9731879587
39.0;0.15;-1.85;70.6075920032
40.0;0.15;-1.95;70.1493004955
41.0;0.25;-0.05;302.589037531
42.0;0.25;-0.15;286.585057043
43.0;0.25;-0.25;265.01315182
44.0;0.25;-0.35;239.449883413
45.0;0.25;-0.45;213.035757212
46.0;0.25;-0.55;188.219769998
47.0;0.25;-0.65;165.696916102
48.0;0.25;-0.75;145.394342493
49.0;0.25;-0.85;127.265192575
50.0;0.25;-0.95;111.180501553
51.0;0.25;-1.05;97.2204272926
52.0;0.25;-1.15;86.0770945081
53.0;0.25;-1.25;78.3788540905
54.0;0.25;-1.35;73.9253739741
55.0;0.25;-1.45;71.922575569
56.0;0.25;-1.55;71.413935341
57.0;0.25;-1.65;71.3550800156
58.0;0.25;-1.75;70.9951214682
59.0;0.25;-1.85;70.3287643525
60.0;0.25;-1.95;69.6814252682
61.0;0.35;-0.05;285.475094319
62.0;0.35;-0.15;264.117859027
63.0;0.35;-0.25;239.449883224
64.0;0.35;-0.35;213.719394547
65.0;0.35;-0.45;188.546898571
66.0;0.35;-0.55;165.645084167
67.0;0.35;-0.65;145.318751217
68.0;0.35;-0.75;127.15354165
69.0;0.35;-0.85;111.015385942
70.0;0.35;-0.95;97.2380184291
71.0;0.35;-1.05;86.2679100149
72.0;0.35;-1.15;78.4888302205
73.0;0.35;-1.25;73.9432016246
74.0;0.35;-1.35;71.9629459633
75.0;0.35;-1.45;71.4039742127
76.0;0.35;-1.55;71.2920831842
77.0;0.35;-1.65;71.0894176506
78.0;0.35;-1.75;70.6029916568
79.0;0.35;-1.85;69.9305156246
80.0;0.35;-1.95;69.2838798272
81.0;0.45;-0.05;263.397902837
82.0;0.45;-0.15;238.789880827
83.0;0.45;-0.25;213.035757799
84.0;0.45;-0.35;188.546898166
85.0;0.45;-0.45;166.149089311
86.0;0.45;-0.55;145.70265625
87.0;0.45;-0.65;127.534962026
88.0;0.45;-0.75;111.396341381
89.0;0.45;-0.85;97.3946461413
90.0;0.45;-0.95;86.3016760096
91.0;0.45;-1.05;78.6486985722
92.0;0.45;-1.15;74.1734741363
93.0;0.45;-1.25;72.1673049055
94.0;0.45;-1.35;71.6588009795
95.0;0.45;-1.45;71.5413806867
96.0;0.45;-1.55;71.1383610325
97.0;0.45;-1.65;70.5179018503
98.0;0.45;-1.75;69.9432028511
99.0;0.45;-1.85;69.4235033955
100.0;0.45;-1.95;68.8917406928
101.0;0.55;-0.05;238.519112301
102.0;0.55;-0.15;213.200829217
103.0;0.55;-0.25;188.219770591
104.0;0.55;-0.35;165.645083869
105.0;0.55;-0.45;145.702656327
106.0;0.55;-0.55;127.819989862
107.0;0.55;-0.65;111.634133206
108.0;0.55;-0.75;97.7435122975
109.0;0.55;-0.85;86.6211183781
110.0;0.55;-0.95;78.8001993805
111.0;0.55;-1.05;74.3122633179
112.0;0.55;-1.15;72.3452012269
113.0;0.55;-1.25;71.7641967247
114.0;0.55;-1.35;71.6511298296
115.0;0.55;-1.45;71.388157845
116.0;0.55;-1.55;70.7571873198
117.0;0.55;-1.65;69.9988806073
118.0;0.55;-1.75;69.398346383
119.0;0.55;-1.85;68.935785524
120.0;0.55;-1.95;68.464677768
121.0;0.65;-0.05;213.098785564
122.0;0.65;-0.15;188.778200449
123.0;0.65;-0.25;165.696915325
124.0;0.65;-0.35;145.318751252
125.0;0.65;-0.45;127.534962228
126.0;0.65;-0.55;111.634133143
127.0;0.65;-0.65;97.7463382052
128.0;0.65;-0.75;86.6037312974
129.0;0.65;-0.85;78.9168526088
130.0;0.65;-0.95;74.4353370129
131.0;0.65;-1.05;72.4634064116
132.0;0.65;-1.15;71.9355864356
133.0;0.65;-1.25;71.7453431614
134.0;0.65;-1.35;71.35290716
135.0;0.65;-1.45;70.7918495754
136.0;0.65;-1.55;70.1956138957
137.0;0.65;-1.65;69.6001656831
138.0;0.65;-1.75;69.0402142865
139.0;0.65;-1.85;68.5302645963
140.0;0.65;-1.95;68.0288617323
141.0;0.75;-0.05;188.714703008
142.0;0.75;-0.15;166.221971679
143.0;0.75;-0.25;145.394342468
144.0;0.75;-0.35;127.153541604
145.0;0.75;-0.45;111.39634176
146.0;0.75;-0.55;97.7435118225
147.0;0.75;-0.65;86.6037312486
148.0;0.75;-0.75;78.8328883731
149.0;0.75;-0.85;74.3988830076
150.0;0.75;-0.95;72.4906719727
151.0;0.75;-1.05;71.956281802
152.0;0.75;-1.15;71.855947452
153.0;0.75;-1.25;71.5320131912
154.0;0.75;-1.35;70.8648043836
155.0;0.75;-1.45;70.1694425212
156.0;0.75;-1.55;69.6518248445
157.0;0.75;-1.65;69.1995773994
158.0;0.75;-1.75;68.6902877068
159.0;0.75;-1.85;68.142919414
160.0;0.75;-1.95;67.5990790184
